Dataset IEMOCAP 



⚙️ Scénario 1 : Test des modèles de base


La  perfomance de  model avec base  model  LSTM :

epoch: 29, train_loss: 1.067, train_acc: 60.24, train_fscore: 57.06, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1749, test_acc: 55.82, test_fscore: 53.37, time: 3.18 sec
epoch: 30, train_loss: 1.0448, train_acc: 60.88, train_fscore: 57.7, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1637, test_acc: 55.39, test_fscore: 53.01, time: 3.47 sec
epoch: 31, train_loss: 1.0232, train_acc: 61.69, train_fscore: 58.53, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1544, test_acc: 55.14, test_fscore: 52.81, time: 3.31 sec
epoch: 32, train_loss: 1.0022, train_acc: 62.65, train_fscore: 59.6, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1454, test_acc: 55.02, test_fscore: 52.76, time: 3.91 sec
epoch: 33, train_loss: 0.9816, train_acc: 63.49, train_fscore: 60.53, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1384, test_acc: 54.71, test_fscore: 52.53, time: 3.38 sec
epoch: 34, train_loss: 0.9613, train_acc: 64.22, train_fscore: 61.44, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.133, test_acc: 54.9, test_fscore: 52.66, time: 4.28 sec
epoch: 35, train_loss: 0.9413, train_acc: 65.15, train_fscore: 62.56, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1277, test_acc: 53.6, test_fscore: 51.22, time: 3.8 sec
epoch: 36, train_loss: 0.9216, train_acc: 66.28, train_fscore: 63.92, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1234, test_acc: 53.42, test_fscore: 51.18, time: 3.32 sec
epoch: 37, train_loss: 0.9018, train_acc: 67.4, train_fscore: 65.36, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1192, test_acc: 53.42, test_fscore: 51.42, time: 3.64 sec
epoch: 38, train_loss: 0.8823, train_acc: 68.33, train_fscore: 66.41, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1145, test_acc: 53.6, test_fscore: 51.7, time: 6.03 sec
epoch: 39, train_loss: 0.8633, train_acc: 69.23, train_fscore: 67.5, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1106, test_acc: 53.48, test_fscore: 51.64, time: 7.27 sec
epoch: 40, train_loss: 0.8445, train_acc: 70.17, train_fscore: 68.53, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1074, test_acc: 53.48, test_fscore: 51.94, time: 5.31 sec
epoch: 41, train_loss: 0.8261, train_acc: 71.26, train_fscore: 69.75, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1046, test_acc: 53.6, test_fscore: 52.13, time: 6.67 sec
epoch: 42, train_loss: 0.8079, train_acc: 72.25, train_fscore: 70.89, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.102, test_acc: 54.04, test_fscore: 52.57, time: 6.18 sec
epoch: 43, train_loss: 0.79, train_acc: 73.12, train_fscore: 71.9, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.101, test_acc: 54.22, test_fscore: 52.75, time: 10.49 sec
epoch: 44, train_loss: 0.7723, train_acc: 73.89, train_fscore: 72.78, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1011, test_acc: 53.79, test_fscore: 52.48, time: 7.42 sec
epoch: 45, train_loss: 0.7551, train_acc: 74.7, train_fscore: 73.69, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1012, test_acc: 53.79, test_fscore: 52.51, time: 8.05 sec
epoch: 46, train_loss: 0.7383, train_acc: 75.39, train_fscore: 74.47, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1019, test_acc: 53.97, test_fscore: 52.78, time: 12.89 sec
epoch: 47, train_loss: 0.7219, train_acc: 76.13, train_fscore: 75.31, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.103, test_acc: 53.91, test_fscore: 52.73, time: 6.39 sec
epoch: 48, train_loss: 0.7059, train_acc: 76.94, train_fscore: 76.2, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.104, test_acc: 53.91, test_fscore: 52.78, time: 5.99 sec
epoch: 49, train_loss: 0.6904, train_acc: 77.62, train_fscore: 76.97, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1049, test_acc: 53.91, test_fscore: 52.92, time: 5.32 sec
epoch: 50, train_loss: 0.6754, train_acc: 78.47, train_fscore: 77.87, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1053, test_acc: 54.65, test_fscore: 54.02, time: 6.29 sec
epoch: 51, train_loss: 0.6608, train_acc: 78.97, train_fscore: 78.42, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1056, test_acc: 54.65, test_fscore: 54.02, time: 4.53 sec
epoch: 52, train_loss: 0.6466, train_acc: 79.59, train_fscore: 79.11, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.1067, test_acc: 54.59, test_fscore: 54.03, time: 4.34 sec
epoch: 53, train_loss: 0.6329, train_acc: 80.31, train_fscore: 79.9, valid_loss: nan, valid_acc: nan, valid_fscore: nan, test_loss: 1.108, test_acc: 54.47, test_fscore: 53.91, time: 4.74 sec
